feature,importance
combined_avg_score,0.1331910975444617
inset_avg_score,0.06826326698630611
inset_total_score,0.05915393124981622
sentiwords_avg_score,0.03874858899770172
inset_polarity_ratio,0.03678949185255653
sentiwords_total_score,0.0365807704820864
senti_polarity_ratio,0.03653439163892278
sentiment_word_ratio,0.017105020054202284
lexicon_agreement,0.01579577402783
senti_pos_count,0.013468916417600476
senti_neg_count,0.012768565206185653
inset_word_count,0.011781628522287741
total_sentiment_words,0.011588821378442204
inset_neg_count,0.009593808358662735
inset_pos_count,0.009252731055335027
sentiwords_word_count,0.00906445597041261
bert_dim_130,0.004928278286109723
bert_dim_519,0.004146995015178632
bert_dim_65,0.003960385871008787
bert_dim_47,0.0035621950687026644
bert_dim_77,0.0032021281701439617
bert_dim_246,0.0029953589704864534
bert_dim_729,0.0027470344016598176
bert_dim_196,0.0026475486947418535
bert_dim_252,0.002557940567543236
bert_dim_620,0.002287656995599386
bert_dim_304,0.0022464995872348947
bert_dim_688,0.0022197476069977093
bert_dim_566,0.002084995205956408
bert_dim_614,0.0020352428376075224
bert_dim_421,0.0019430466924478017
bert_dim_375,0.0018810816501428206
bert_dim_428,0.0018481354545672845
bert_dim_133,0.001829361135041932
bert_dim_194,0.0017360809844294588
bert_dim_644,0.0017152997605683045
bert_dim_248,0.0016816810765816037
bert_dim_499,0.001673360851287096
bert_dim_412,0.0016558093747249532
bert_dim_577,0.0016001727233996043
bert_dim_160,0.0015828841443413246
bert_dim_88,0.0015666018676276472
bert_dim_135,0.0015620480974237504
bert_dim_422,0.0014475039669774943
bert_dim_96,0.0014201195702951252
bert_dim_381,0.0013946552501406422
bert_dim_623,0.001364341591571213
bert_dim_584,0.0013469264221844797
bert_dim_494,0.00134578814007319
bert_dim_66,0.0013324898081448603
bert_dim_586,0.0013203797804655232
bert_dim_189,0.0013158283664236171
bert_dim_250,0.0012752908032768546
bert_dim_260,0.0012663293173571857
bert_dim_362,0.0012578159115701883
bert_dim_182,0.0012574177290651373
bert_dim_277,0.001254860090808787
bert_dim_598,0.0011960377681954353
bert_dim_224,0.0011554384805208672
bert_dim_580,0.0011494321263442971
bert_dim_152,0.0011480946002077816
bert_dim_220,0.001123682636894302
bert_dim_120,0.0011131726780778414
bert_dim_193,0.0011099422782172878
bert_dim_85,0.0010945693578402196
bert_dim_281,0.0010861312785522964
bert_dim_438,0.0010845277094140367
bert_dim_155,0.0010827364669093776
bert_dim_759,0.001060689920503657
bert_dim_181,0.0010596690733960846
bert_dim_54,0.00105749933228041
bert_dim_667,0.0010551881152766854
bert_dim_635,0.001042161521226403
bert_dim_244,0.0010332475378210001
bert_dim_672,0.001024924075746699
bert_dim_511,0.0010231495614419646
bert_dim_32,0.0009958505108714954
bert_dim_739,0.0009928198923532883
bert_dim_145,0.0009927944897357552
bert_dim_585,0.0009923354241684766
bert_dim_359,0.0009587056283812673
bert_dim_697,0.0009575141389185134
bert_dim_695,0.0009487161671522201
bert_dim_552,0.0009458610833446439
bert_dim_677,0.0009356603771027715
bert_dim_497,0.0009303822823047287
bert_dim_229,0.0009231150567950363
bert_dim_39,0.000917428921698628
bert_dim_270,0.0009158056599277098
bert_dim_588,0.0009110281694079492
bert_dim_255,0.0009058561013434007
bert_dim_568,0.0009040877476557056
bert_dim_259,0.0008946372901606586
bert_dim_23,0.0008933033534692014
bert_dim_37,0.0008874131918523616
bert_dim_382,0.0008829087717056883
bert_dim_743,0.0008816207994828291
bert_dim_649,0.0008798004345354276
bert_dim_296,0.0008723961358955953
bert_dim_409,0.0008681254183493294
bert_dim_476,0.000867533484843304
bert_dim_240,0.0008639823256244474
bert_dim_9,0.0008555812649328823
bert_dim_591,0.0008549034841187439
bert_dim_275,0.0008433526409066067
bert_dim_407,0.0008384874315838896
bert_dim_716,0.0008382134256305055
bert_dim_658,0.0008354550527620187
bert_dim_459,0.0008340314836953452
bert_dim_16,0.0008306597267801694
bert_dim_740,0.0008278436224087804
bert_dim_55,0.0008271311615851172
bert_dim_287,0.0008262122797067149
bert_dim_299,0.0008215076451687613
bert_dim_439,0.0008183662224089768
bert_dim_105,0.0008171803532236853
bert_dim_301,0.0008138726652551111
bert_dim_498,0.0008134570659132345
bert_dim_687,0.0008128998844132247
bert_dim_563,0.0008106513241010907
bert_dim_78,0.0008091432867565992
bert_dim_524,0.000808518959292776
bert_dim_489,0.0008065672153140519
bert_dim_410,0.0007972791709440954
bert_dim_679,0.0007908157964073713
bert_dim_377,0.0007906763275910626
bert_dim_678,0.0007827803258408518
bert_dim_48,0.00078245784957445
bert_dim_107,0.0007817596667645076
bert_dim_471,0.0007779061436667238
bert_dim_609,0.000777899331895023
bert_dim_480,0.000775981482678993
bert_dim_92,0.0007759263168012848
bert_dim_279,0.0007703697381284805
bert_dim_719,0.0007653552833525074
bert_dim_76,0.0007638046803406594
bert_dim_558,0.0007573862701295309
bert_dim_321,0.0007561506749868628
bert_dim_61,0.0007546586375750181
bert_dim_357,0.0007536124752282961
bert_dim_219,0.0007531819719489229
bert_dim_253,0.0007493645710413343
